City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Shenzhen,CN,2021-07-31 16:23:30,22.5455,114.0683,86.86,92,82,7.7
165,Hermanus,ZA,2021-07-31 16:24:09,-34.4187,19.2345,61.9,82,100,1.81
166,Grand Gaube,MU,2021-07-31 16:24:09,-20.0064,57.6608,70.38,72,2,4.0
167,Hambantota,LK,2021-07-31 16:24:10,6.1241,81.1185,80.58,78,93,18.97
168,Berlevag,NO,2021-07-31 16:24:10,70.8578,29.0864,50.11,86,100,11.72
169,Korla,CN,2021-07-31 16:24:10,41.7597,86.1469,77.74,30,94,16.8
170,Tabat,ID,2021-07-31 16:24:11,-2.635,115.2274,73.81,94,29,0.87
171,Jakar,BT,2021-07-31 16:24:11,27.5492,90.7525,59.27,96,87,0.72
172,Provideniya,RU,2021-07-31 16:24:12,64.3833,-173.3,45.5,89,100,5.99
173,Moron,AR,2021-07-31 16:24:12,-34.6534,-58.6198,60.69,48,98,4.32
174,Srednekolymsk,RU,2021-07-31 16:24:13,67.45,153.6833,43.52,76,73,14.16
175,Sao Joao Da Barra,BR,2021-07-31 16:24:13,-21.6403,-41.0511,68.09,67,85,11.23
176,Mount Isa,AU,2021-07-31 16:24:13,-20.7333,139.5,58.77,55,2,0.0
177,Mercedes,AR,2021-07-31 16:20:06,-34.6515,-59.4307,61.86,48,96,6.24
178,Toora-Khem,RU,2021-07-31 16:21:16,52.4675,96.11,53.4,99,100,1.83
179,Port Hardy,CA,2021-07-31 16:24:14,50.6996,-127.4199,59.18,88,90,4.61
180,Hualmay,PE,2021-07-31 16:24:14,-11.0964,-77.6139,66.43,74,62,8.21
181,Robertsport,LR,2021-07-31 16:24:15,6.7533,-11.3686,77.7,83,83,12.71
182,Labuhan,ID,2021-07-31 16:24:15,-6.8844,112.2051,77.2,79,51,5.79
183,Borger,NL,2021-07-31 16:24:16,52.9233,6.7931,67.82,82,81,15.37
184,Prince Rupert,CA,2021-07-31 16:24:16,54.3161,-130.3201,56.89,100,90,4.61
185,Carbonia,IT,2021-07-31 16:24:16,39.1672,8.5222,97.75,46,81,9.19
186,Paicol,CO,2021-07-31 16:24:17,2.4496,-75.775,79.57,59,76,4.92
187,Mayo,US,2021-07-31 16:24:17,38.8876,-76.5119,79.74,58,1,1.99
188,Salinopolis,BR,2021-07-31 16:24:18,-0.6136,-47.3561,82.2,79,29,9.44
189,Sweetwater,US,2021-07-31 16:24:18,25.7634,-80.3731,94.01,68,75,1.01
190,Dongying,CN,2021-07-31 16:24:19,37.4564,118.4856,75.13,92,23,15.99
191,Samarai,PG,2021-07-31 16:24:19,-10.6167,150.6667,78.35,68,100,15.66
192,Dingle,PH,2021-07-31 16:24:20,10.9995,122.6711,79.16,87,75,7.63
193,Saldanha,ZA,2021-07-31 16:24:20,-33.0117,17.9442,66.25,65,30,1.79
194,Fukue,JP,2021-07-31 16:24:20,32.6881,128.8419,80.71,88,77,9.98
195,Sun Prairie,US,2021-07-31 16:24:21,43.1836,-89.2137,75.87,76,20,3.44
196,Pelym,RU,2021-07-31 16:24:21,61.0108,61.9978,65.1,68,53,5.5
197,Kalmar,SE,2021-07-31 16:24:21,56.6616,16.3616,68.97,67,6,17.27
198,Caohai,CN,2021-07-31 16:24:22,26.8661,104.2841,53.67,85,75,1.41
199,Kruisfontein,ZA,2021-07-31 16:24:22,-34.0033,24.7314,63.88,62,80,2.44
200,Saskylakh,RU,2021-07-31 16:24:23,71.9167,114.0833,68.29,38,0,9.13
201,Wilmington,US,2021-07-31 16:21:36,34.2257,-77.9447,93.94,69,20,6.91
202,Pevek,RU,2021-07-31 16:24:23,69.7008,170.3133,34.52,82,95,3.0
203,Bontang,ID,2021-07-31 16:24:24,0.1333,117.5,77.41,91,38,8.25
204,Kavaratti,IN,2021-07-31 16:24:24,10.5669,72.642,81.82,80,75,15.9
205,Dauphin,CA,2021-07-31 16:24:25,51.1494,-100.0502,73.54,56,40,6.91
206,Songea,TZ,2021-07-31 16:24:25,-10.6833,35.65,70.74,36,100,6.04
207,Narsaq,GL,2021-07-31 16:24:26,60.9167,-46.05,64.62,63,89,2.8
208,Alta Floresta,BR,2021-07-31 16:24:26,-9.8756,-56.0861,93.87,18,69,6.53
209,Buin,CL,2021-07-31 16:24:26,-33.7333,-70.75,64.72,22,15,1.21
210,Broome,US,2021-07-31 16:24:27,42.2506,-75.833,69.06,59,75,1.99
211,Myitkyina,MM,2021-07-31 16:24:27,25.3833,97.4,74.1,99,100,1.19
212,Nanortalik,GL,2021-07-31 16:24:28,60.1432,-45.2371,47.84,80,76,12.39
213,Atar,MR,2021-07-31 16:24:28,20.5169,-13.0499,109.62,14,15,15.55
214,Ancud,CL,2021-07-31 16:24:29,-41.8697,-73.8203,47.73,66,30,4.74
215,Uyuni,BO,2021-07-31 16:24:29,-20.4597,-66.825,44.1,42,57,16.31
216,Tessalit,ML,2021-07-31 16:24:30,20.1986,1.0114,105.66,15,7,5.64
217,Klyuchi,RU,2021-07-31 16:24:30,52.2667,79.1667,71.15,39,100,4.5
218,Pokhara,NP,2021-07-31 16:24:31,28.2333,83.9833,73.96,97,96,1.74
219,Severo-Kurilsk,RU,2021-07-31 16:24:31,50.6789,156.125,53.22,97,100,1.34
220,Hue,VN,2021-07-31 16:24:31,16.4667,107.6,89.71,51,40,4.61
221,Havoysund,NO,2021-07-31 16:24:32,70.9963,24.6622,47.28,89,100,9.64
222,Vagur,FO,2021-07-31 16:24:32,61.4732,-6.8119,50.38,77,100,12.64
223,Asau,RO,2021-07-31 16:24:33,46.4333,26.4,85.75,59,35,2.06
224,Necochea,AR,2021-07-31 16:24:33,-38.5473,-58.7368,55.04,67,72,11.74
225,Baykit,RU,2021-07-31 16:24:33,61.67,96.37,56.62,80,63,0.92
226,Fairbanks,US,2021-07-31 16:24:34,64.8378,-147.7164,58.82,85,1,4.61
227,Anadyr,RU,2021-07-31 16:24:34,64.75,177.4833,39.7,86,75,4.0
228,Ambon,ID,2021-07-31 16:24:35,-3.6954,128.1814,79.43,85,36,7.94
229,Sinnamary,GF,2021-07-31 16:24:35,5.3833,-52.95,84.67,69,88,6.82
230,Lafia,NG,2021-07-31 16:24:35,8.4833,8.5167,82.53,72,86,4.32
231,Dera Ghazi Khan,PK,2021-07-31 16:24:36,30.0561,70.6348,96.21,42,92,8.43
232,Zhangye,CN,2021-07-31 16:24:36,38.9342,100.4517,82.94,22,1,9.8
233,Rio Brilhante,BR,2021-07-31 16:24:37,-21.8019,-54.5464,71.85,21,100,8.08
234,Itarema,BR,2021-07-31 16:24:37,-2.9248,-39.9167,89.4,46,61,15.88
235,Bouar,CF,2021-07-31 16:24:38,5.934,15.596,73.94,88,99,3.24
236,East London,ZA,2021-07-31 16:22:00,-33.0153,27.9116,68.94,37,0,6.91
237,Port Lincoln,AU,2021-07-31 16:24:38,-34.7333,135.8667,50.67,73,95,7.72
238,Ponta Do Sol,PT,2021-07-31 16:24:39,32.6667,-17.1,81.72,71,0,5.59
239,Quatre Cocos,MU,2021-07-31 16:24:39,-20.2078,57.7625,70.09,65,5,17.76
240,North Bend,US,2021-07-31 16:24:39,43.4065,-124.2243,62.24,97,90,5.75
241,Ust-Kut,RU,2021-07-31 16:24:40,56.7938,105.7672,59.79,79,1,2.82
242,Havre-Saint-Pierre,CA,2021-07-31 16:24:40,50.2334,-63.5986,55.76,94,90,14.97
243,Lebu,CL,2021-07-31 16:24:41,-37.6167,-73.65,50.36,60,65,12.41
244,Fassuta,IL,2021-07-31 16:24:41,33.0483,35.3098,87.15,56,0,7.0
245,Vostok,RU,2021-07-31 16:24:42,46.4856,135.8833,64.02,95,31,4.5
246,Nautla,MX,2021-07-31 16:24:42,20.2167,-96.7833,84.33,67,34,5.08
247,Rengo,CL,2021-07-31 16:24:42,-34.4167,-70.8667,57.52,29,25,3.4
248,Naze,JP,2021-07-31 16:24:43,28.3667,129.4833,78.26,88,100,6.06
249,Ayan,RU,2021-07-31 16:24:43,56.45,138.1667,52.99,76,66,7.7
250,Bayeux,BR,2021-07-31 16:24:43,-7.125,-34.9322,86.63,62,40,18.41
251,Pisco,PE,2021-07-31 16:24:44,-13.7,-76.2167,66.02,72,90,8.05
252,Lompoc,US,2021-07-31 16:24:45,34.6391,-120.4579,68.92,86,90,4.61
253,South Lake Tahoe,US,2021-07-31 16:24:45,38.9332,-119.9844,74.34,56,20,5.75
254,Bethel,US,2021-07-31 16:21:38,41.3712,-73.414,73.78,56,20,3.44
255,Shiraz,IR,2021-07-31 16:22:45,29.6036,52.5388,87.24,18,40,6.91
256,Parkes,AU,2021-07-31 16:24:46,-33.1333,148.1833,50.88,89,9,8.5
257,Vao,NC,2021-07-31 16:24:46,-22.6667,167.4833,67.37,57,0,24.29
258,Belaya Gora,RU,2021-07-31 16:24:46,68.5333,146.4167,44.65,74,100,19.39
259,Husavik,IS,2021-07-31 16:24:47,66.0449,-17.3389,62.51,55,5,6.58
260,Herat,AF,2021-07-31 16:24:47,34.5,62.0,79.25,13,0,25.34
261,Chokurdakh,RU,2021-07-31 16:24:48,70.6333,147.9167,36.72,81,100,20.54
262,Vila,PT,2021-07-31 16:24:48,42.0304,-8.1588,64.33,54,64,11.52
263,Nantucket,US,2021-07-31 16:19:49,41.2835,-70.0995,71.96,54,1,11.5
264,Dikson,RU,2021-07-31 16:24:49,73.5069,80.5464,45.0,92,100,13.11
265,Chuy,UY,2021-07-31 16:24:49,-33.6971,-53.4616,55.92,59,0,6.69
266,Aalborg,DK,2021-07-31 16:20:15,57.048,9.9187,66.13,65,75,17.27
267,Mamou,GN,2021-07-31 16:24:50,10.5,-12.0,73.85,84,78,10.0
268,Areia Branca,BR,2021-07-31 16:24:50,-4.9561,-37.1369,90.59,44,28,14.74
269,Mar Del Plata,AR,2021-07-31 16:22:58,-38.0023,-57.5575,57.99,55,0,7.0
270,Svetlogorsk,BY,2021-07-31 16:24:51,52.6333,29.7333,80.76,50,99,4.09
271,Nanga Eboko,CM,2021-07-31 16:24:51,4.6833,12.3667,78.6,69,80,3.33
272,Beyneu,KZ,2021-07-31 16:24:51,45.3167,55.2,94.46,12,0,5.03
273,Serro,BR,2021-07-31 16:24:52,-18.6047,-43.3794,72.64,41,43,7.92
274,Yagoua,CM,2021-07-31 16:24:52,10.3411,15.2329,77.59,83,100,4.52
275,Coihaique,CL,2021-07-31 16:24:53,-45.5752,-72.0662,41.61,60,0,6.91
276,Bonavista,CA,2021-07-31 16:24:53,48.6499,-53.1147,68.0,91,99,21.03
277,Mandera,KE,2021-07-31 16:24:53,3.9366,41.867,88.39,31,99,15.14
278,Omboue,GA,2021-07-31 16:24:54,-1.5746,9.2618,77.05,71,21,11.3
279,Swift Current,CA,2021-07-31 16:24:54,50.2834,-107.8014,81.41,36,1,2.3
280,Tatishchevo,RU,2021-07-31 16:24:55,51.6703,45.5953,70.47,60,91,4.72
281,Bilma,NE,2021-07-31 16:24:55,18.6853,12.9164,105.08,8,86,3.31
282,Roswell,US,2021-07-31 16:24:56,34.0232,-84.3616,91.67,70,1,1.01
283,Leningradskiy,RU,2021-07-31 16:24:56,69.3833,178.4167,32.05,92,99,8.55
284,Huarmey,PE,2021-07-31 16:24:57,-10.0681,-78.1522,68.54,73,31,10.54
285,Jimma,ET,2021-07-31 16:24:57,7.6667,36.8333,60.48,99,100,1.99
286,Dolgoderevenskoye,RU,2021-07-31 16:24:58,55.3444,61.3444,70.14,88,75,13.42
287,Kurilsk,RU,2021-07-31 16:24:58,45.2333,147.8833,63.23,95,11,4.03
288,Chuguyevka,RU,2021-07-31 16:24:58,44.1653,133.8633,69.76,88,52,4.9
289,Ariquemes,BR,2021-07-31 16:24:59,-9.9133,-63.0408,88.86,22,1,4.07
290,Klaksvik,FO,2021-07-31 16:24:59,62.2266,-6.589,52.72,79,99,17.0
291,Yashan,CN,2021-07-31 16:25:00,22.1975,109.9419,80.74,89,99,2.08
292,Paveh,IR,2021-07-31 16:25:00,35.0434,46.3565,81.45,13,0,5.46
293,Inuvik,CA,2021-07-31 16:25:00,68.3499,-133.7218,68.86,54,75,3.44
294,Faanui,PF,2021-07-31 16:25:01,-16.4833,-151.75,77.27,68,78,18.97
295,Costuleni,RO,2021-07-31 16:25:01,47.0333,27.85,87.94,45,0,2.48
