City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Makat,KZ,47.6469,53.3463,91.89,18,1,4.23,clear sky
214,Sorong,ID,-0.8833,131.25,87.85,64,57,10.83,broken clouds
215,Kimbe,PG,-5.5502,150.1429,85.75,68,54,5.28,light rain
216,Nanortalik,GL,60.1432,-45.2371,45.7,93,100,7.67,moderate rain
217,Road Town,VG,18.4167,-64.6167,81.19,75,0,14.29,clear sky
218,Ishikari,JP,43.2397,141.3539,84.27,70,40,24.16,scattered clouds
219,Abu Samrah,SY,35.3029,37.1841,78.21,46,0,6.38,clear sky
220,Saskylakh,RU,71.9167,114.0833,81.12,33,8,9.46,clear sky
221,Bilibino,RU,68.0546,166.4372,47.08,56,98,11.92,overcast clouds
222,Marsa Matruh,EG,31.3525,27.2453,77.2,83,0,10.36,clear sky
223,San Pedro,PH,14.35,121.0167,89.31,69,75,21.85,broken clouds
224,Inuvik,CA,68.3499,-133.7218,74.16,53,75,3.44,broken clouds
225,Medvezhyegorsk,RU,62.9167,34.4667,58.6,93,25,5.75,scattered clouds
226,Denpasar,ID,-8.65,115.2167,78.46,89,75,19.57,broken clouds
227,Aratoca,CO,6.6935,-73.0208,59.74,89,100,3.69,overcast clouds
228,Fort Saint James,CA,54.4333,-124.25,67.01,78,64,5.14,broken clouds
229,Guerrero Negro,MX,27.9769,-114.0611,74.25,74,0,12.3,clear sky
230,Pingliang,CN,35.5392,106.6861,90.73,23,45,11.52,scattered clouds
231,Naraina,IN,26.7833,75.2,77.14,80,99,19.71,light rain
232,Noumea,NC,-22.2763,166.4572,73.38,57,2,9.08,clear sky
233,San Rafael,AR,-34.6177,-68.3301,50.7,38,0,9.37,clear sky
234,Tabou,CI,4.423,-7.3528,76.06,80,97,6.13,overcast clouds
235,Alegrete,BR,-29.7831,-55.7919,47.64,85,0,7.56,clear sky
236,Tarko-Sale,RU,64.9225,77.785,66.83,51,88,11.45,overcast clouds
237,Lagoa,PT,39.05,-27.9833,71.94,94,100,13.24,overcast clouds
238,Tazovskiy,RU,67.4667,78.7,60.58,60,100,11.14,overcast clouds
239,Conway,US,35.0887,-92.4421,79.02,72,90,3.44,overcast clouds
240,Nampula,MZ,-15.1165,39.2666,60.75,100,20,3.44,few clouds
241,Carnot,CF,4.9409,15.8665,67.91,98,100,2.42,light rain
242,Ust-Tsilma,RU,65.441,52.1498,59.09,69,35,1.52,scattered clouds
243,Cartagena,CO,10.3997,-75.5144,78.42,83,40,4.61,scattered clouds
244,Ochakiv,UA,46.6128,31.5498,75.38,77,3,12.48,clear sky
245,Sawakin,SD,19.1059,37.3321,89.56,54,40,16.31,scattered clouds
246,Bambous Virieux,MU,-20.3428,57.7575,68.25,83,75,10.36,broken clouds
247,Shingu,JP,33.7333,135.9833,88.79,68,98,8.3,overcast clouds
248,Fortuna,US,40.5982,-124.1573,57.92,88,1,1.01,clear sky
249,Vidim,RU,56.4088,103.1106,74.84,36,72,5.3,broken clouds
250,Shimoda,JP,34.6667,138.95,87.1,73,86,11.07,overcast clouds
251,Archena,ES,38.1163,-1.3004,74.91,76,91,3.2,overcast clouds
252,Santa Cruz,BO,-17.8,-63.1667,67.46,32,75,10.36,broken clouds
253,Montrose,US,38.4166,-108.2673,56.37,85,100,4.83,overcast clouds
254,Coahuayana,MX,18.7333,-103.6833,79.54,87,64,0.4,broken clouds
255,Pizarro,CO,4.9533,-77.366,77.27,89,93,2.66,light rain
256,Key Biscayne,US,25.6937,-80.1628,86.02,77,75,1.99,broken clouds
257,Saquena,PE,-4.6667,-73.5167,68.81,80,17,0.6,few clouds
258,Talnakh,RU,69.4865,88.3972,67.95,58,65,6.62,broken clouds
259,Gornopravdinsk,RU,60.05,69.9,64.54,89,92,6.06,light rain
260,Safaga,EG,26.7292,33.9365,85.95,56,8,5.88,clear sky
261,Torgelow,DE,53.6333,14.0167,58.91,92,61,10.11,broken clouds
262,Tucuma,BR,-0.1833,-50.05,74.82,86,40,4.61,scattered clouds
263,Pedasi,PA,7.5333,-80.0333,80.4,80,100,7.49,overcast clouds
264,Zykovo,RU,55.9519,93.1461,72.34,49,18,3.36,few clouds
265,Julio De Castilhos,BR,-29.2269,-53.6817,39.58,89,0,5.88,clear sky
266,Antofagasta,CL,-23.65,-70.4,56.48,79,40,2.73,scattered clouds
267,Kabo,CF,7.6994,18.629,69.89,98,100,2.71,moderate rain
268,Bethel,US,41.3712,-73.414,68.68,92,75,6.91,broken clouds
269,Glebychevo,RU,60.4387,28.7183,62.89,75,100,13.56,overcast clouds
270,Nandura,IN,20.8333,76.45,79.45,74,100,15.28,overcast clouds
271,Urumqi,CN,43.801,87.6005,76.15,27,0,4.47,clear sky
272,Frutal,BR,-20.0247,-48.9406,64.6,55,8,3.49,clear sky
273,Araouane,ML,18.9048,-3.5265,91.04,40,7,11.16,clear sky
274,Leh,IN,34.1667,77.5833,63.72,44,4,6.08,clear sky
275,Bawku,GH,11.0616,-0.2417,75.27,79,28,3.94,scattered clouds
276,Ulladulla,AU,-35.35,150.4667,63.88,50,3,14.34,clear sky
277,Ampanihy,MG,-24.7,44.75,61.57,53,0,6.46,clear sky
278,Shenjiamen,CN,29.9576,122.298,81.9,86,100,11.79,overcast clouds
279,San Quintin,MX,30.4833,-115.95,69.82,77,25,10.49,scattered clouds
280,Puerto Rondon,CO,6.2805,-71.1,72.25,89,99,8.16,overcast clouds
281,Mitu,CO,1.1983,-70.1733,69.75,81,66,2.33,broken clouds
282,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,10.36,scattered clouds
283,Breytovo,RU,58.2993,37.8617,64.78,83,100,2.57,overcast clouds
284,Kurilsk,RU,45.2333,147.8833,62.2,78,98,6.15,overcast clouds
285,Esperance,AU,-33.8667,121.9,57.04,63,100,16.46,overcast clouds
286,Omboue,GA,-1.5746,9.2618,73.63,84,74,5.57,broken clouds
287,Klyuchi,RU,52.2667,79.1667,81.14,41,13,7.85,few clouds
288,Nsukka,NG,6.8561,7.3927,67.53,97,100,2.57,overcast clouds
289,Baker City,US,44.7749,-117.8344,73.31,78,1,3.44,clear sky
290,Jatai,BR,-17.8814,-51.7144,61.88,45,3,4.29,clear sky
291,Riyadh,SA,24.6877,46.7219,86.14,11,3,7.74,clear sky
292,Talaya,RU,61.3833,152.75,42.58,72,93,17.67,overcast clouds
293,Ishimbay,RU,53.4545,56.0415,75.58,44,99,2.51,overcast clouds
294,Nizhnekamsk,RU,55.6366,51.8245,68.79,68,0,6.71,clear sky
295,Ponta Do Sol,PT,32.6667,-17.1,72.23,79,2,4.7,clear sky
296,Mahur,IN,25.1667,93.1167,74.21,90,99,3.13,overcast clouds
297,Araria,IN,26.15,87.5167,79.61,90,100,13.09,moderate rain
298,Swift Current,CA,50.2834,-107.8014,77.81,31,1,8.05,clear sky
299,Mehriz,IR,31.5917,54.4318,77.5,15,84,5.01,broken clouds
300,Qaqortoq,GL,60.7167,-46.0333,55.9,98,100,5.97,moderate rain
301,Anadyr,RU,64.75,177.4833,50.5,76,40,4.0,scattered clouds
302,Maningrida,AU,-12.0667,134.2667,86.63,51,2,11.88,clear sky
303,Nome,US,64.5011,-165.4064,54.16,94,90,8.05,light rain
304,Bonavista,CA,48.6499,-53.1147,61.12,84,1,17.63,clear sky
305,Prince Rupert,CA,54.3161,-130.3201,64.09,79,1,5.75,clear sky
306,Vestmanna,FO,62.1564,-7.1664,45.52,87,90,1.14,overcast clouds
307,Neiafu,TO,-18.65,-173.9833,74.08,88,75,8.05,light rain
308,The Valley,AI,18.217,-63.0578,82.26,75,0,14.14,clear sky
309,Tando Adam,PK,25.7637,68.661,86.05,60,39,22.1,scattered clouds
310,Rio Grande,BR,-32.035,-52.0986,47.95,94,0,6.87,clear sky
311,Luderitz,NA,-26.6481,15.1594,62.56,36,0,6.64,clear sky
312,Norrtalje,SE,59.758,18.705,62.83,83,65,3.78,broken clouds
313,Sinjar,IQ,36.3209,41.8754,89.96,19,1,6.49,clear sky
314,Saint-Francois,FR,46.4154,3.9054,52.48,96,0,0.0,clear sky
315,Vaitape,PF,-16.5167,-151.75,77.88,71,24,14.65,few clouds
